FID,Id,dem,dist
333,0,2.839999914,166.5
334,0,2.809999943,167
335,0,2.809999943,167.5
336,0,2.769999981,168
337,0,2.769999981,168.5
338,0,2.779999971,169
339,0,2.779999971,169.5
340,0,2.839999914,170
341,0,2.839999914,170.5
342,0,2.839999914,171
343,0,2.839999914,171.5
344,0,2.849999905,172
345,0,2.849999905,172.5
346,0,2.849999905,173
347,0,2.849999905,173.5
348,0,2.880000114,174
349,0,2.970000029,174.5
350,0,2.99000001,175
351,0,2.99000001,175.5
352,0,3,176
353,0,3,176.5
354,0,3.049999952,177
355,0,3.049999952,177.5
356,0,3.099999905,178
357,0,3.099999905,178.5
358,0,3.140000105,179
359,0,3.180000067,179.5
360,0,3.180000067,180
361,0,3.210000038,180.5
362,0,3.210000038,181
363,0,3.25,181.5
364,0,3.25,182
365,0,3.279999971,182.5
366,0,3.279999971,183
367,0,3.279999971,183.5
368,0,3.279999971,184
369,0,3.329999924,184.5
370,0,3.329999924,185
371,0,3.329999924,185.5
372,0,3.329999924,186
373,0,3.299999952,186.5
374,0,3.299999952,187
375,0,3.329999924,187.5
376,0,3.329999924,188
377,0,3.299999952,188.5
378,0,3.329999924,189
379,0,3.309999943,189.5
380,0,3.309999943,190
381,0,3.329999924,190.5
382,0,3.329999924,191
383,0,3.329999924,191.5
384,0,3.329999924,192
385,0,3.319999933,192.5
386,0,3.319999933,193
387,0,3.299999952,193.5
388,0,3.329999924,194
389,0,3.329999924,194.5
390,0,3.329999924,195
391,0,3.309999943,195.5
392,0,3.309999943,196
393,0,3.299999952,196.5
394,0,3.299999952,197
395,0,3.319999933,197.5
396,0,3.319999933,198
397,0,3.309999943,198.5
398,0,3.299999952,199
399,0,3.319999933,199.5
400,0,3.319999933,200
401,0,3.309999943,200.5
402,0,3.309999943,201
403,0,3.299999952,201.5
404,0,3.299999952,202
405,0,3.309999943,202.5
406,0,3.309999943,203
407,0,3.309999943,203.5
408,0,3.279999971,204
409,0,3.279999971,204.5
410,0,3.289999962,205
411,0,3.289999962,205.5
412,0,3.279999971,206
413,0,3.279999971,206.5
414,0,3.269999981,207
415,0,3.269999981,207.5
416,0,3.25,208
417,0,3.24000001,208.5
418,0,3.25999999,209
419,0,3.25999999,209.5
420,0,3.230000019,210
421,0,3.230000019,210.5
422,0,3.210000038,211
423,0,3.210000038,211.5
424,0,3.190000057,212
425,0,3.190000057,212.5
426,0,3.180000067,213
427,0,3.210000038,213.5
428,0,3.210000038,214
429,0,3.210000038,214.5
430,0,3.170000076,215
431,0,3.170000076,215.5
432,0,3.190000057,216
433,0,3.190000057,216.5
434,0,3.180000067,217
435,0,3.180000067,217.5
436,0,3.180000067,218
437,0,3.200000048,218.5
438,0,3.230000019,219
439,0,3.230000019,219.5
440,0,3.230000019,220
441,0,3.230000019,220.5
442,0,3.200000048,221
443,0,3.200000048,221.5
444,0,3.230000019,222
445,0,3.230000019,222.5
446,0,3.25999999,223
447,0,3.25999999,223.5
448,0,3.269999981,224
449,0,3.269999981,224.5
450,0,3.289999962,225
451,0,3.289999962,225.5
452,0,3.279999971,226
453,0,3.279999971,226.5
454,0,3.279999971,227
455,0,3.279999971,227.5
456,0,3.299999952,228
457,0,3.299999952,228.5
458,0,3.299999952,229
459,0,3.289999962,229.5
460,0,3.289999962,230
461,0,3.289999962,230.5
462,0,3.289999962,231
463,0,3.289999962,231.5
464,0,3.289999962,232
465,0,3.279999971,232.5
466,0,3.299999952,233
467,0,3.289999962,233.5
468,0,3.289999962,234
469,0,3.289999962,234.5
470,0,3.289999962,235
471,0,3.289999962,235.5
472,0,3.289999962,236
473,0,3.289999962,236.5
474,0,3.289999962,237
475,0,3.289999962,237.5
476,0,3.299999952,238
477,0,3.289999962,238.5
478,0,3.289999962,239
479,0,3.299999952,239.5
480,0,3.299999952,240
481,0,3.289999962,240.5
482,0,3.289999962,241
483,0,3.289999962,241.5
484,0,3.289999962,242
485,0,3.319999933,242.5
486,0,3.319999933,243
487,0,3.329999924,243.5
488,0,3.329999924,244
489,0,3.309999943,244.5
490,0,3.309999943,245
491,0,3.309999943,245.5
492,0,3.309999943,246
493,0,3.319999933,246.5
494,0,3.319999933,247
495,0,3.309999943,247.5
496,0,3.309999943,248
497,0,3.309999943,248.5
498,0,3.309999943,249
499,0,3.299999952,249.5
500,0,3.299999952,250
501,0,3.299999952,250.5
502,0,3.319999933,251
503,0,3.319999933,251.5
504,0,3.299999952,252
505,0,3.319999933,252.5
506,0,3.329999924,253
507,0,3.329999924,253.5
508,0,3.299999952,254
509,0,3.299999952,254.5
510,0,3.299999952,255
511,0,3.299999952,255.5
512,0,3.309999943,256
513,0,3.309999943,256.5
514,0,3.299999952,257
515,0,3.299999952,257.5
516,0,3.309999943,258
517,0,3.309999943,258.5
518,0,3.309999943,259
519,0,3.309999943,259.5
520,0,3.299999952,260
521,0,3.299999952,260.5
522,0,3.269999981,261
523,0,3.269999981,261.5
524,0,3.289999962,262
525,0,3.289999962,262.5
526,0,3.25999999,263
527,0,3.25999999,263.5
528,0,3.25999999,264
529,0,3.25999999,264.5
530,0,3.230000019,265
531,0,3.230000019,265.5
532,0,3.25999999,266
533,0,3.25999999,266.5
534,0,3.25999999,267
535,0,3.25999999,267.5
536,0,3.25,268
537,0,3.25,268.5
538,0,3.25999999,269
539,0,3.25999999,269.5
540,0,3.269999981,270
541,0,3.269999981,270.5
542,0,3.25,271
543,0,3.25,271.5
544,0,3.279999971,272
545,0,3.279999971,272.5
546,0,3.279999971,273
547,0,3.279999971,273.5
548,0,3.279999971,274
549,0,3.269999981,274.5
550,0,3.269999981,275
551,0,3.269999981,275.5
552,0,3.269999981,276
553,0,3.299999952,276.5
554,0,3.299999952,277
555,0,3.289999962,277.5
556,0,3.289999962,278
557,0,3.269999981,278.5
558,0,3.269999981,279
559,0,3.24000001,279.5
560,0,3.24000001,280
561,0,3.269999981,280.5
562,0,3.269999981,281
563,0,3.25,281.5
564,0,3.25,282
565,0,3.25,282.5
566,0,3.25,283
567,0,3.25,283.5
568,0,3.25,284
569,0,3.220000029,284.5
570,0,3.220000029,285
571,0,3.210000038,285.5
572,0,3.210000038,286
573,0,3.220000029,286.5
