FID,Id,dem,dist
292,0,3.130000114,146
293,0,3.130000114,146.5
294,0,3.130000114,147
295,0,3.130000114,147.5
296,0,3.160000086,148
297,0,3.160000086,148.5
298,0,3.160000086,149
299,0,3.160000086,149.5
300,0,3.200000048,150
301,0,3.200000048,150.5
302,0,3.200000048,151
303,0,3.25,151.5
304,0,3.279999971,152
305,0,3.279999971,152.5
306,0,3.279999971,153
307,0,3.279999971,153.5
308,0,3.299999952,154
309,0,3.299999952,154.5
310,0,3.299999952,155
311,0,3.299999952,155.5
312,0,3.390000105,156
313,0,3.390000105,156.5
314,0,3.390000105,157
315,0,3.390000105,157.5
316,0,3.390000105,158
317,0,3.390000105,158.5
318,0,3.390000105,159
319,0,3.390000105,159.5
320,0,3.380000114,160
321,0,3.400000095,160.5
322,0,3.400000095,161
323,0,3.400000095,161.5
324,0,3.410000086,162
325,0,3.410000086,162.5
326,0,3.410000086,163
327,0,3.410000086,163.5
328,0,3.410000086,164
329,0,3.349999905,164.5
330,0,3.349999905,165
331,0,3.349999905,165.5
332,0,3.349999905,166
333,0,3.24000001,166.5
334,0,3.24000001,167
335,0,3.24000001,167.5
336,0,3.24000001,168
337,0,3.180000067,168.5
338,0,3.180000067,169
339,0,3.180000067,169.5
340,0,3.210000038,170
341,0,3.140000105,170.5
342,0,3.140000105,171
343,0,3.140000105,171.5
344,0,3.140000105,172
345,0,3.109999895,172.5
346,0,3.109999895,173
347,0,3.109999895,173.5
348,0,3.109999895,174
349,0,3.069999933,174.5
350,0,3.069999933,175
351,0,3.069999933,175.5
352,0,3.069999933,176
353,0,3.079999924,176.5
354,0,3.079999924,177
355,0,3.079999924,177.5
356,0,3.079999924,178
357,0,3.029999971,178.5
358,0,3.029999971,179
359,0,3.079999924,179.5
360,0,3.079999924,180
361,0,3.079999924,180.5
362,0,3.079999924,181
363,0,3.079999924,181.5
364,0,3.079999924,182
365,0,3.069999933,182.5
366,0,3.069999933,183
367,0,3.069999933,183.5
368,0,3.069999933,184
369,0,3.079999924,184.5
370,0,3.079999924,185
371,0,3.079999924,185.5
372,0,3.079999924,186
373,0,3.079999924,186.5
374,0,3.079999924,187
375,0,3.079999924,187.5
376,0,3.079999924,188
377,0,3.180000067,188.5
378,0,3.190000057,189
379,0,3.190000057,189.5
380,0,3.190000057,190
381,0,3.190000057,190.5
382,0,3.160000086,191
383,0,3.160000086,191.5
384,0,3.160000086,192
385,0,3.160000086,192.5
386,0,3.150000095,193
387,0,3.150000095,193.5
388,0,3.150000095,194
389,0,3.150000095,194.5
390,0,3.119999886,195
391,0,3.119999886,195.5
392,0,3.119999886,196
393,0,3.119999886,196.5
394,0,3.079999924,197
395,0,3.079999924,197.5
396,0,3.140000105,198
397,0,3.140000105,198.5
398,0,3.059999943,199
399,0,3.059999943,199.5
400,0,3.059999943,200
401,0,3.059999943,200.5
402,0,3,201
403,0,3,201.5
404,0,3,202
405,0,3,202.5
406,0,2.920000076,203
407,0,2.920000076,203.5
408,0,2.920000076,204
409,0,2.920000076,204.5
410,0,2.799999952,205
411,0,2.799999952,205.5
412,0,2.799999952,206
413,0,2.799999952,206.5
414,0,2.890000105,207
415,0,2.720000029,207.5
416,0,2.720000029,208
417,0,2.720000029,208.5
418,0,2.720000029,209
419,0,2.539999962,209.5
420,0,2.539999962,210
421,0,2.539999962,210.5
422,0,2.539999962,211
423,0,2.450000048,211.5
424,0,2.450000048,212
425,0,2.450000048,212.5
426,0,2.450000048,213
427,0,2.349999905,213.5
428,0,2.349999905,214
429,0,2.349999905,214.5
430,0,2.349999905,215
431,0,2.279999971,215.5
432,0,2.279999971,216
433,0,2.390000105,216.5
434,0,2.390000105,217
435,0,2.359999895,217.5
436,0,2.359999895,218
437,0,2.359999895,218.5
438,0,2.359999895,219
439,0,2.289999962,219.5
440,0,2.289999962,220
441,0,2.289999962,220.5
442,0,2.289999962,221
443,0,2.25999999,221.5
444,0,2.25999999,222
445,0,2.25999999,222.5
446,0,2.25999999,223
447,0,2.210000038,223.5
448,0,2.210000038,224
449,0,2.210000038,224.5
450,0,2.210000038,225
451,0,2.170000076,225.5
452,0,2.190000057,226
453,0,2.190000057,226.5
454,0,2.190000057,227
455,0,2.119999886,227.5
456,0,2.119999886,228
457,0,2.119999886,228.5
458,0,2.119999886,229
459,0,2.119999886,229.5
460,0,2.099999905,230
461,0,2.099999905,230.5
462,0,2.099999905,231
463,0,2.099999905,231.5
464,0,2.019999981,232
465,0,2.019999981,232.5
466,0,2.019999981,233
467,0,2.019999981,233.5
468,0,1.909999967,234
469,0,1.909999967,234.5
470,0,2.00999999,235
471,0,2.00999999,235.5
472,0,1.889999986,236
473,0,1.889999986,236.5
474,0,1.889999986,237
475,0,1.889999986,237.5
476,0,1.830000043,238
477,0,1.830000043,238.5
478,0,1.830000043,239
479,0,1.830000043,239.5
480,0,1.769999981,240
481,0,1.769999981,240.5
482,0,1.769999981,241
483,0,1.769999981,241.5
484,0,1.679999948,242
485,0,1.679999948,242.5
486,0,1.679999948,243
487,0,1.679999948,243.5
488,0,1.610000014,244
489,0,1.679999948,244.5
490,0,1.679999948,245
491,0,1.679999948,245.5
492,0,1.620000005,246
493,0,1.620000005,246.5
494,0,1.620000005,247
495,0,1.620000005,247.5
496,0,1.590000033,248
497,0,1.590000033,248.5
498,0,1.590000033,249
499,0,1.590000033,249.5
500,0,1.590000033,250
501,0,1.559999943,250.5
502,0,1.559999943,251
503,0,1.559999943,251.5
504,0,1.559999943,252
505,0,1.50999999,252.5
506,0,1.50999999,253
507,0,1.590000033,253.5
508,0,1.590000033,254
509,0,1.50999999,254.5
510,0,1.50999999,255
511,0,1.50999999,255.5
512,0,1.50999999,256
513,0,1.5,256.5
514,0,1.5,257
515,0,1.5,257.5
516,0,1.5,258
517,0,1.450000048,258.5
518,0,1.450000048,259
519,0,1.450000048,259.5
520,0,1.450000048,260
521,0,1.419999957,260.5
522,0,1.419999957,261
523,0,1.419999957,261.5
524,0,1.419999957,262
525,0,1.370000005,262.5
526,0,1.429999948,263
527,0,1.429999948,263.5
528,0,1.429999948,264
529,0,1.409999967,264.5
530,0,1.409999967,265
531,0,1.409999967,265.5
532,0,1.409999967,266
533,0,1.379999995,266.5
534,0,1.379999995,267
535,0,1.379999995,267.5
536,0,1.379999995,268
537,0,1.340000033,268.5
538,0,1.340000033,269
539,0,1.340000033,269.5
540,0,1.340000033,270
541,0,1.370000005,270.5
542,0,1.370000005,271
543,0,1.370000005,271.5
544,0,1.370000005,272
545,0,1.450000048,272.5
546,0,1.480000019,273
547,0,1.480000019,273.5
548,0,1.480000019,274
549,0,1.480000019,274.5
550,0,1.50999999,275
551,0,1.50999999,275.5
552,0,1.50999999,276
553,0,1.50999999,276.5
554,0,1.539999962,277
555,0,1.539999962,277.5
556,0,1.539999962,278
557,0,1.539999962,278.5
558,0,1.570000052,279
559,0,1.570000052,279.5
560,0,1.570000052,280
561,0,1.570000052,280.5
562,0,1.549999952,281
563,0,1.539999962,281.5
564,0,1.539999962,282
565,0,1.539999962,282.5
566,0,1.549999952,283
567,0,1.549999952,283.5
568,0,1.549999952,284
569,0,1.549999952,284.5
570,0,1.570000052,285
571,0,1.570000052,285.5
572,0,1.570000052,286
573,0,1.570000052,286.5
574,0,1.559999943,287
575,0,1.559999943,287.5
576,0,1.559999943,288
577,0,1.559999943,288.5
578,0,1.590000033,289
579,0,1.590000033,289.5
580,0,1.590000033,290
581,0,1.590000033,290.5
582,0,1.600000024,291
583,0,1.600000024,291.5
584,0,1.600000024,292
585,0,1.600000024,292.5
586,0,1.600000024,293
587,0,1.600000024,293.5
588,0,1.600000024,294
589,0,1.600000024,294.5
590,0,1.600000024,295
591,0,1.590000033,295.5
592,0,1.590000033,296
593,0,1.590000033,296.5
594,0,1.590000033,297
595,0,1.639999986,297.5
596,0,1.639999986,298
597,0,1.639999986,298.5
598,0,1.639999986,299
599,0,1.590000033,299.5
600,0,1.600000024,300
601,0,1.600000024,300.5
602,0,1.600000024,301
603,0,1.559999943,301.5
604,0,1.559999943,302
605,0,1.559999943,302.5
606,0,1.559999943,303
607,0,1.580000043,303.5
608,0,1.580000043,304
609,0,1.580000043,304.5
610,0,1.580000043,305
611,0,1.600000024,305.5
612,0,1.600000024,306
613,0,1.600000024,306.5
614,0,1.600000024,307
615,0,1.580000043,307.5
616,0,1.580000043,308
